transaction_id,customer_id,amount,merchant,timestamp,location
H001,C001,351,Flipkart,2026-02-24 10:43,Bangalore
H002,C001,1416,Amazon,2026-01-03 12:14,Bangalore
H003,C001,354,Flipkart,2026-06-18 15:14,Bangalore
H004,C001,869,Flipkart,2026-07-06 15:21,Bangalore
H005,C001,740,,2026-01-13 10:22,Bangalore
H006,C001,1536,Amazon,2026-04-18 10:59,Bangalore
H007,C001,1430,Amazon,2026-07-12 18:12,Bangalore
H008,C001,393,Flipkart,2026-01-28 12:55,Bangalore
H009,C001,869,Amazon,2026-02-12 14:13,Bangalore
H010,C001,1737,Big Bazaar,2026-05-21 11:34,Bangalore
H011,C001,634,Amazon,2026-06-23 17:14,Bangalore
H012,C001,1873,Flipkart,2026-01-26 14:25,Bangalore
H013,C001,732,Big Bazaar,2026-06-11 12:41,Bangalore
H014,C001,,Amazon,2026-02-24 17:34,Bangalore
H015,C001,1497,Amazon,2026-03-08 11:32,Bangalore
H016,C001,1847,Amazon,2026-06-06 19:27,Bangalore
H017,C001,1088,Amazon,2026-05-09 17:55,Bangalore
H018,C001,1693,Flipkart,2026-05-25 13:49,Bangalore
H019,C001,528,Amazon,2026-01-24 13:32,Bangalore
H020,C001,1339,Big Bazaar,2026-03-27 19:32,Bangalore
H021,C002,1126,BigBasket,2026-07-17 08:38,Pune
H022,C002,579,BigBasket,2026-07-26 12:15,Pune
H023,C002,2823,Airtel,2026-04-27 09:48,Pune
H024,C002,1015,BigBasket,2026-05-06 12:33,Pune
H025,C002,2233,Airtel,2026-07-24 19:12,Pune
H026,C002,2134,Airtel,2026-04-17 15:07,Pune
H027,C002,762,BigBasket,2026-02-19 11:00,Pune
H028,C002,3084,BigBasket,2026-01-28 13:04,Pune
H029,C002,1640,,2026-02-24 17:36,Pune
H030,C002,3713,Reliance Fresh,2026-01-04 18:27,Pune
H031,C002,2183,Reliance Fresh,2026-06-21 18:06,Pune
H032,C002,3482,BigBasket,2026-02-07 11:34,Pune
H033,C002,2228,BigBasket,2026-07-03 15:51,Pune
H034,C002,2754,BigBasket,2026-05-27 08:05,Pune
H035,C002,3976,BigBasket,2026-04-07 14:57,Pune
H036,C002,2052,BigBasket,2026-07-26 15:18,Pune
H037,C002,3492,Airtel,2026-06-16 10:12,Pune
H038,C002,739,Reliance Fresh,2026-06-11 08:03,Pune
H039,C002,2559,Airtel,2026-01-17 09:54,Pune
H040,C002,2937,BigBasket,2026-04-04 17:15,Pune
H041,C003,7604,Emirates,2026-05-19 17:20,Delhi
H042,C003,18386,,2026-03-13 11:42,Mumbai
H043,C003,34964,MakeMyTrip,2026-01-01 16:39,Dubai
H044,C003,11552,Taj Hotels,2026-03-05 14:56,Mumbai
H045,C003,21009,MakeMyTrip,2026-07-18 20:19,Mumbai
H046,C003,39664,Taj Hotels,2026-03-22 10:56,Dubai
H047,C003,12564,Louis Vuitton,2026-02-09 13:38,Dubai
H048,C003,27471,Taj Hotels,2026-03-17 16:16,Delhi
H049,C003,8329,Taj Hotels,2026-03-02 09:21,Delhi
H050,C003,22167,Taj Hotels,2026-06-14 17:00,Delhi
